time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/loss,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
3997,425984,232.75,503.035,52,106,0.09691162109375,0.18,-0.00745742799990694,-0.8359430492389948,0.30278027057647705,0.0003,0.007651015,291.4449768066406,510,1464.1778501860797,,
4054,434176,221.77,494.19300000000004,53,107,0.11947021484375,0.18,-0.007899204999648645,-0.7973885709885508,0.4907926321029663,0.0003,0.010212658,22.33293914794922,520,1376.1126195028423,,
4118,442368,174.4,456.7180000000001,54,107,0.12586669921875,0.18,-0.005784808646785678,-0.7692987169604748,0.4196767210960388,0.0003,0.016233746,1170.0263671875,530,2023.1698455907404,,
4184,450560,176.8,434.68799999999993,55,107,0.11722412109375,0.18,-0.004438548344478477,-0.765659756329842,0.5491435527801514,0.0003,0.011664303,1522.2802734375,540,2193.528311341256,,
4245,458752,207.66,446.30999999999995,56,108,0.13055419921875,0.18,-0.006050110517207941,-0.7692639170214534,0.5957024097442627,0.0003,0.013031455,91.79462432861328,550,1673.5169389143587,,
4299,466944,237.16,471.36400000000003,57,108,0.1539794921875,0.18,-0.004474573668085213,-0.7384475108701736,0.6445324420928955,0.0003,0.017602593,347.30218505859375,560,1566.743263207376,,
4351,475136,228.77,414.45899999999995,58,109,0.44454345703125,0.18,0.0877413190644802,-0.6220689474997926,0.7535087466239929,0.0003,0.09770913,70.51349639892578,570,1169.3745414549485,,
4414,483328,232.32,406.0159999999999,59,109,0.15821533203125,0.18,0.003119748810422607,-0.7339089193148538,0.5859804153442383,0.0003,0.083755046,120.19696807861328,580,2102.0960582960397,,
4464,491520,200.08,351.10400000000004,60,110,0.119189453125,0.18,-0.0030568439615308307,-0.7338680843589828,0.6979211568832397,0.0003,0.026762469,117.62284851074219,590,1239.5207309782504,,
4532,499712,203.61,409.047,61,110,0.10115966796875,0.18,-0.006532892433369852,-0.7274328073952347,0.590491771697998,0.0003,0.0071562366,135.33221435546875,600,1711.5295556355268,,
4589,507904,216.96,468.982,62,110,0.1447021484375,0.18,-0.0001295820235100109,-0.7186865891795605,0.6276856660842896,0.0003,0.011530483,964.42431640625,610,1524.0498227443545,,
4649,516096,206.75,474.37899999999996,63,111,0.1261474609375,0.18,-0.000525996068790846,-0.7133129441877827,0.680222749710083,0.0003,0.031189827,195.64137268066406,620,1466.188024625741,,
4714,524288,217.1,500.806,64,111,0.08311767578125,0.18,-0.00553604915003234,-0.6940137767465785,0.7656271457672119,0.0003,0.009302681,132.67636108398438,630,1577.5156221836805,,
4770,532480,221.65,502.403,65,111,0.1750732421875,0.18,0.005196613410225837,-0.6293092220788822,0.6959246397018433,0.0003,0.016273133,9.701302528381348,640,1317.2355744464323,,
4828,540672,208.16,461.26599999999996,66,111,0.19588623046875,0.18,0.006768512077360356,-0.7120028766104951,0.7654770612716675,0.0003,0.021358527,27.039356231689453,650,1075.5157110638916,,
4897,548864,173.7,428.7560000000001,67,112,0.0908935546875,0.18,-0.005564100385163329,-0.7433507872279733,0.6955970525741577,0.0003,0.008266793,314.875732421875,660,1605.020345234871,,
4966,557056,196.01,446.217,68,112,0.390283203125,0.18,0.05571274737812928,-0.6562377581838519,0.7310367226600647,0.0003,0.072561845,591.568603515625,670,1600.1796460258308,,
5022,565248,211.88,395.61799999999994,69,112,0.17979736328125,0.18,0.003380389589619881,-0.70392038540449,0.8157343864440918,0.0003,0.03178531,179.4378204345703,680,1015.1148514175787,,
5082,573440,211.87,366.0030000000001,70,112,0.207666015625,0.18,0.008171399415732594,-0.7169902061345056,0.7329094409942627,0.0003,0.029568583,327.5172424316406,690,1190.2522713458166,,
5143,581632,171.15,379.977,71,113,0.24080810546875,0.18,0.022008917264975024,-0.639059082150925,0.7723344564437866,0.0003,0.03107328,15.737944602966309,700,1277.2781479260884,,
5215,589824,148.63,346.15299999999996,72,113,0.2670654296875,0.18,0.016660827164014336,-0.7539432863239199,0.7151635885238647,0.0003,0.034566224,210.43768310546875,710,1057.2558896463365,,
5281,598016,126.65,312.59499999999997,73,113,0.20059814453125,0.18,0.002967057699606812,-0.7322860530810431,0.6006751656532288,0.0003,0.011590481,614.1492309570312,720,981.0772598683834,,
